open,high,low,close,volume,symbol,ema_short,ema_long,rsi,adx,bb_upper,bb_lower,macd,macd_signal,stoch_k,stoch_d,signal
2207.39,2490.77,2184.33,2345.04,1667041.0382,ETHUSDTUSDT,2525.8669051360703,2555.3594252667735,37.29651625472674,12.729155476964824,2709.0405771197516,2397.8394228802476,-29.49252013070327,-21.443287716497505,46.08042832742328,51.373734558502626,2
1811.11,2226.0,1808.71,2207.39,1473152.686,ETHUSDTUSDT,2476.8704581920592,2529.5839122840493,32.1526075047587,16.630640331203793,2736.194779742139,2323.264220257861,-52.713454091990116,-27.69732099159603,45.01371352971214,47.11144803723969,2
1817.0,1850.0,1787.01,1811.11,456170.0705,ETHUSDTUSDT,2374.4457723163578,2476.3636224852307,22.522172716971625,20.189406046729587,2855.0139773890287,2119.475022610971,-101.91785016887297,-42.541426827051424,24.803831753519287,38.63265787021823,2
1820.19,1820.9,1752.0,1817.0,384584.2451,ETHUSDTUSDT,2288.6848842676873,2427.5218726715098,22.89185426925166,23.50116967001137,2917.194454667919,1982.624545332081,-138.8369884038225,-61.80053914240564,17.333439927272696,29.05032840350138,2
1808.86,1833.55,1781.85,1820.19,342341.0078,ETHUSDTUSDT,2216.6087482265048,2382.534326547694,23.105849316415107,26.304550351196806,2952.123019747941,1874.5929802520595,-165.92557832118928,-82.62554697816236,5.344712201782252,15.827327960858078,2
1833.52,1849.95,1803.0,1808.86,238254.3564,ETHUSDTUSDT,2153.8781715762734,2340.0399319886055,22.86315282833419,28.600692685552996,2973.4398271895325,1781.1221728104674,-186.16176041233211,-103.33278966499631,6.421692853522553,9.699948327525833,2
1842.2,1848.6,1810.0,1833.52,213751.5979,ETHUSDTUSDT,2104.5922990260774,2302.5199370264863,24.716635045038807,30.67477054474137,2979.252041676351,1706.0119583236494,-197.92763800040893,-122.25175933207885,6.979895252576447,6.248766769293751,2
1838.1,1871.0,1813.0,1842.2,410667.875,ETHUSDTUSDT,2064.2242530220656,2268.4221639134134,25.396150150228195,32.213384580438166,2955.5984366835555,1647.403563316444,-204.19791089134787,-138.64098964393267,7.723601959790503,7.041730021963168,2
1793.62,1873.17,1792.52,1838.11,537198.7291,ETHUSDTUSDT,2029.4374448648248,2236.547188808716,25.280360001162634,33.71567516549441,2939.101954889376,1592.612045110624,-207.1097439438911,-152.33474050392437,8.711944585233988,7.805147265866979,2
1797.81,1816.8,1731.7,1793.61,473523.9877,ETHUSDTUSDT,1993.1562995010056,2203.737026674737,23.998307733103875,35.38437815460875,2921.5545206881325,1537.1014793118675,-210.58072717373147,-163.9839378378858,8.007153753529883,8.14756676618479,2
1799.88,1842.99,1780.47,1797.81,480456.3884,ETHUSDTUSDT,1963.103022654697,2173.668358032164,24.388058367144833,36.483457824514055,2895.113124269087,1490.5098757309136,-210.56533537746714,-173.30021734580208,7.428989349950662,8.049362562904845,2
1791.29,1827.98,1744.71,1799.88,587269.743,ETHUSDTUSDT,1937.9917884001284,2145.980331511263,24.59330649489931,37.67825126891956,2865.4720122327844,1450.3609877672163,-207.98854311113473,-180.23788249886863,7.112471714071649,7.516204939184064,2
1820.87,1857.47,1781.9,1791.29,340332.6435,ETHUSDTUSDT,1915.4222824924163,2119.70697362154,24.29854108786845,38.28511611861656,2832.757024895982,1414.6969751040178,-204.28469112912353,-185.0472442249196,7.350355009806609,7.29727202460964,2
1784.6,1841.16,1778.94,1820.88,355068.0442,ETHUSDTUSDT,1900.8773159551215,2097.5716422421665,27.521148344513698,38.85874084387722,2782.0029522221926,1393.8270477778074,-196.694326287045,-187.37666063734468,8.796902978568374,7.753243234148878,2
1769.64,1827.32,1738.6,1784.6,595610.8894,ETHUSDTUSDT,1882.988498115872,2074.3885576316356,26.05652285427045,39.638351697829094,2721.913615032203,1377.5073849677974,-191.4000595157636,-188.18134041302847,9.771141781554055,8.639466589976346,2
1795.08,1802.82,1722.9,1769.65,483465.0385,ETHUSDTUSDT,1865.5518060980455,2051.8153311404035,25.45535223740933,40.45006774246213,2638.387920096015,1377.0240799039843,-186.26352504235797,-187.79777733889438,17.853752461449087,12.140599073857173,2
1756.25,1834.86,1744.95,1795.07,887545.6316,ETHUSDTUSDT,1854.7084513137308,2032.7971584633367,28.477014740117042,40.60321803541231,2519.0446467552047,1407.9033532447947,-178.08870714960585,-185.8559633010367,29.94651841265259,19.190470885218577,2
1579.57,1778.0,1537.26,1756.26,1103036.9586,ETHUSDTUSDT,1839.562535727003,2012.3129245030896,26.697687169922265,41.90309488117526,2431.6649711955183,1421.3620288044815,-172.75038877608654,-183.23484839604666,48.11119568593622,31.970488853345966,2
1587.36,1658.75,1564.07,1579.57,691486.6667,ETHUSDTUSDT,1799.563684076695,1980.2578930584161,20.43689405490768,43.09784971658192,2328.481259678616,1431.0457403213834,-180.6942089817212,-182.7267205131816,41.939518442780646,39.999077513789814,2
1613.26,1619.19,1565.59,1587.36,276052.2306,ETHUSDTUSDT,1766.916963449511,1951.1543454244595,21.313024427876293,44.19683703632986,2160.9639505791556,1498.9760494208444,-184.23738197494845,-183.02885280553497,30.902126561678205,40.317613563465024,2
1588.6,1631.81,1585.01,1613.27,223096.3899,ETHUSDTUSDT,1743.2789690726634,1926.125875393018,24.29891409464552,44.9754367471395,2039.4190560986501,1547.3439439013498,-182.84690632035472,-182.99246350849893,16.712809978863366,29.85148499444074,2
