open,high,low,close,volume,ema_short,ema_long,rsi,adx,upper_band,lower_band,signal,symbol
164.46,176.15,161.07,172.78,6318574.649,173.46618826243122,168.83708813592233,52.49706252121468,18.95333386642199,182.33134733008302,164.90665266991698,1,SOLUSDTUSDT
147.32,164.6,147.08,164.46,6040622.618,172.08062083744178,168.51285938511325,45.36576736380088,19.897580232704595,182.80671649885812,163.6562835011419,1,SOLUSDTUSDT
146.89,149.54,144.68,147.32,2440566.284,168.27129455475844,166.94301794917894,34.85990359087402,21.01891784440107,186.42174842894667,157.10225157105333,1,SOLUSDTUSDT
146.72,147.23,141.41,146.88,2352310.935,164.98032616171866,165.45686847146197,34.638142859597366,22.38370743896998,188.4958858244043,152.2251141755957,2,SOLUSDTUSDT
143.94,147.73,142.5,146.72,2030995.801,162.17104521376194,164.06895228839073,34.55206638363125,23.49270786736925,189.5603464475431,148.2586535524569,2,SOLUSDTUSDT
146.71,147.81,143.5,143.95,1613358.553,159.3678074885678,162.5786595262877,33.02210960004201,24.472229451950284,190.36071699034406,144.26628300965595,2,SOLUSDTUSDT
148.04,149.05,145.82,146.71,1406583.56,157.4204524903266,161.4032032650812,36.060131319998334,25.042594963317672,190.43632413772204,141.46067586227795,2,SOLUSDTUSDT
150.85,151.91,147.3,148.05,2216263.073,155.97884441489174,160.41407709729742,37.54139405235041,24.857408604003233,189.18653674023759,139.54746325976245,2,SOLUSDTUSDT
147.54,153.99,147.54,150.85,3037281.454,155.1897914279853,159.70562694194206,40.63610885886146,24.205641046889298,188.34505535196197,138.12094464803803,2,SOLUSDTUSDT
146.3,148.67,140.32,147.54,2780816.363,154.0129004390645,158.80446939068707,38.224928623629886,24.639740540188303,188.05904051139674,136.30195948860325,2,SOLUSDTUSDT
147.84,150.39,145.0,146.31,2498992.492,152.82783883305459,157.87895313952507,37.338315646333776,24.643639159654096,187.82641080551946,134.47958919448052,2,SOLUSDTUSDT
147.97,153.4,144.63,147.84,3507950.445,152.06047901258466,157.13532698104174,39.22661915599228,23.990207374718803,186.54319560742863,133.21680439257136,2,SOLUSDTUSDT
149.22,150.41,145.51,147.98,1599977.891,151.43271301064857,156.4571546120757,39.406554580039405,23.39342952003885,185.97603015483242,131.98796984516758,2,SOLUSDTUSDT
150.82,153.17,147.75,149.21,1766805.88,151.09075716285648,155.92032834451453,41.05772510501602,22.247604805393053,185.09646630770547,131.0485336922945,2,SOLUSDTUSDT
152.55,157.0,149.87,150.82,4226767.973,151.0491022147247,155.54252624492085,43.23808781162933,20.597702287560434,183.85502095075867,130.4559790492413,2,SOLUSDTUSDT
151.1,152.9,144.87,152.55,3535860.484,151.28000956630552,155.32085763418598,45.56811061524561,19.802709325785248,181.15762841397083,130.74437158602916,2,SOLUSDTUSDT
148.78,154.21,147.13,151.1,4801378.47,151.2523157868739,155.0082015131352,43.940051037917506,18.8140693405146,176.1098618436297,132.5271381563703,2,SOLUSDTUSDT
136.57,150.23,134.68,148.79,5078409.536,150.87349797350868,154.54759399364372,41.4022262943875,19.601795261857585,172.9290402373599,133.16495976264002,2,SOLUSDTUSDT
137.86,143.25,133.82,136.56,4657400.503,148.67142136219965,153.21517962374418,31.145735012936388,20.419721089768295,170.0594406441434,132.3715593558566,2,SOLUSDTUSDT
139.86,141.96,135.64,137.86,3498098.615,147.00812576801508,152.07775891087425,33.04446489058757,21.172084743573677,164.45992325836644,133.96807674163355,2,SOLUSDTUSDT
134.05,140.5,133.58,139.87,2816038.068,145.90995257293585,151.1734804730317,35.98386804211847,22.10698511271056,158.88213297088953,136.25486702911047,2,SOLUSDTUSDT
134.84,136.02,132.47,134.04,2556341.874,144.0838060232534,149.90433377132564,31.644485917765962,23.09825150537123,155.96133049078398,136.133669509216,2,SOLUSDTUSDT
131.33,136.2,129.5,134.83,3817459.718,142.6601435581375,148.78771645493114,32.82660323611446,24.350253645581354,156.44872646132663,134.39727353867337,2,SOLUSDTUSDT
126.1,133.91,123.49,131.33,5320768.994,140.91704454919326,147.4945522730844,30.324494216385062,26.097910648291034,157.23305651427228,132.05794348572772,2,SOLUSDTUSDT
129.41,134.45,125.82,126.11,3431482.497,138.63903769547122,145.91051136396703,27.016962994898467,27.571591031432895,158.51637913080526,128.71362086919476,2,SOLUSDTUSDT
128.38,136.13,127.98,129.42,4150251.45,137.22072420386024,144.68899200367318,32.07608627367246,28.492678408466798,159.01974455830975,126.75725544169023,2,SOLUSDTUSDT
132.24,133.96,125.32,128.38,4054370.603,135.86061278788173,143.4809185219196,31.340970403016147,29.630484852603054,159.17768812922048,124.76631187077953,2,SOLUSDTUSDT
121.41,134.11,119.41,132.24,4620265.855,135.30359543589992,142.6482578906663,37.102605264360804,31.236673688604917,158.64832830395943,123.71467169604057,2,SOLUSDTUSDT
112.8,122.65,112.16,121.41,4344066.889,133.16611921499225,141.07505360246878,29.597883954322352,33.25909319902236,158.57506171970496,120.843938280295,2,SOLUSDTUSDT
119.05,119.3,108.21,112.81,5566324.629,130.0344085665319,138.98134592821185,25.233162564083806,35.374700685943026,159.79732047052093,116.14867952947911,2,SOLUSDTUSDT
105.4,121.0,101.26,119.05,9334586.139,128.34449955629623,137.5049499335295,32.95838755591532,37.70144106778571,159.55743471501768,113.66256528498235,2,SOLUSDTUSDT
106.98,112.58,102.96,105.4,5839129.782,124.81457654763527,135.1268054940088,26.506494418610476,39.85391980340944,160.52957184196063,108.44642815803935,2,SOLUSDTUSDT
