open,high,low,close,volume,ema_short,ema_long,rsi,adx,upper_band,lower_band,signal,symbol
0.7694,0.818,0.7532,0.7774,223733227.0,0.7880909834186308,0.7557028655456036,52.99419387636417,27.269553598636744,0.8346309467906011,0.7132990532093989,1,ADAUSDTUSDT
0.6716,0.771,0.67,0.7693,238990032.9,0.7852000628926876,0.7567100606903737,51.458487150035914,26.617336446543746,0.8345561173325907,0.7155438826674093,1,ADAUSDTUSDT
0.6789,0.6892,0.655,0.6715,89497926.6,0.7677077455245819,0.7503982043429387,37.37524695478979,26.43860281250086,0.8452354560536199,0.6961845439463801,1,ADAUSDTUSDT
0.6621,0.6807,0.6426,0.6789,81419623.3,0.7540450154438769,0.7451020410582765,38.74137179410289,26.595386250870096,0.8512055451088028,0.6820644548911974,1,ADAUSDTUSDT
0.6762,0.692,0.6541,0.6622,115627149.0,0.7399150130678959,0.7389611491280337,36.790838011380465,26.23910526933616,0.8578222155316269,0.6656877844683733,1,ADAUSDTUSDT
0.6995,0.7147,0.6718,0.6762,113830422.1,0.7301127033651427,0.7343121751185496,39.53904677298198,24.995814792421584,0.8611756575091928,0.6552843424908071,2,ADAUSDTUSDT
0.6982,0.7297,0.6917,0.6995,125664048.1,0.7254030566935823,0.7317334954801384,43.90992098071871,23.31775460735535,0.8618698943595022,0.6498301056404978,2,ADAUSDTUSDT
0.705,0.7255,0.6888,0.6981,99617178.4,0.7212025864330313,0.7292421254445727,43.705471540363,21.89458307497998,0.856177655560032,0.6444023444399678,2,ADAUSDTUSDT
0.6816,0.7146,0.6814,0.705,85930672.3,0.7187098808279495,0.7274464124486784,45.06313729423778,20.85296999725823,0.8543541289114522,0.6397958710885476,2,ADAUSDTUSDT
0.6957,0.7037,0.6647,0.6816,97477142.0,0.7130006683928803,0.7240503818969244,41.415273134189,20.444479526701798,0.8548707732036309,0.6328392267963692,2,ADAUSDTUSDT
0.7057,0.7181,0.6888,0.6958,144681664.2,0.7103544117170526,0.7219577610156708,44.358818588554364,19.481553262387475,0.8544986811748128,0.6285413188251874,2,ADAUSDTUSDT
0.7033,0.729,0.6821,0.7056,148303185.8,0.7096229637605829,0.72074607501451,46.36182680166561,18.17827864364801,0.8525200193491627,0.6251199806508372,2,ADAUSDTUSDT
0.707,0.7185,0.6907,0.7032,82135355.9,0.708634815489724,0.719446365754176,45.925800217078326,16.98800071569691,0.8515744116606547,0.6221155883393452,2,ADAUSDTUSDT
0.7135,0.7344,0.6996,0.707,98567156.4,0.7083833054143818,0.7185244127353482,46.77927414849344,16.04071212634929,0.8492234561086212,0.6192865438913786,2,ADAUSDTUSDT
0.722,0.7331,0.7019,0.7135,150864406.0,0.7091704891967845,0.7181522340142112,48.282930222677386,15.173387914765481,0.8463593762532122,0.6172606237467879,2,ADAUSDTUSDT
0.6978,0.746,0.6701,0.7219,171690319.8,0.7111288754742022,0.718429846309455,50.239533495449756,14.853712476276494,0.8383842002507036,0.6175657997492965,2,ADAUSDTUSDT
0.6794,0.7183,0.6774,0.6977,159614226.0,0.7090628946320172,0.7168943021383841,44.96195376301196,14.560407625787319,0.8219681664511607,0.6207618335488394,2,ADAUSDTUSDT
0.6241,0.685,0.6153,0.6794,143341355.5,0.7044993723809376,0.7141169464244297,41.41867129786101,16.02787525334154,0.8064342311006455,0.6225357688993546,2,ADAUSDTUSDT
0.6203,0.6507,0.6159,0.6242,113722683.3,0.6921456227838703,0.7074564318744719,32.9767527154178,17.37666767897637,0.7954716148233687,0.6153883851766313,2,ADAUSDTUSDT
0.6282,0.6348,0.6095,0.6202,50246835.4,0.6810770654325056,0.7009929924763629,32.46044915676121,18.765866804849093,0.7680332001477784,0.6207867998522215,2,ADAUSDTUSDT
0.6276,0.6349,0.6191,0.6282,42619558.8,0.6729421322890431,0.6956009189595953,34.66371227704917,20.039526471074087,0.7554850567228175,0.6184149432771824,2,ADAUSDTUSDT
0.6169,0.632,0.6104,0.6275,55674804.9,0.6659510350138057,0.6905564064440697,34.557483290075936,21.428141003095575,0.7418804611398514,0.6178395388601486,2,ADAUSDTUSDT
0.6106,0.6299,0.6088,0.6167,70142773.4,0.6583739527039895,0.6850855615222867,32.8831137954876,22.74823917957978,0.7449460009141023,0.6092939990858978,2,ADAUSDTUSDT
0.609,0.6245,0.5946,0.6105,126774167.2,0.651008729211068,0.6795607051132285,31.92676411475137,24.316393705062282,0.7474603687626343,0.5999396312373656,2,ADAUSDTUSDT
0.6353,0.6486,0.607,0.6091,143898856.8,0.6445612324093651,0.6743413936233598,31.70255202049545,24.441135285774326,0.7499156402915547,0.5921743597084453,2,ADAUSDTUSDT
0.6383,0.6575,0.6277,0.6353,117699773.5,0.643136427423309,0.6714494385401479,40.17048740676266,24.118424645657644,0.7493372640808722,0.5886627359191277,2,ADAUSDTUSDT
0.6596,0.6687,0.6301,0.6383,104410716.6,0.6423923616658768,0.668993924574211,41.07144325955275,23.290056859877506,0.7460590963503695,0.5858209036496305,2,ADAUSDTUSDT
0.6239,0.6675,0.617,0.6595,115874420.3,0.6450243060249726,0.6682906709020472,47.130343781338354,22.974235005087984,0.7427857043764116,0.5852342956235884,2,ADAUSDTUSDT
0.6094,0.645,0.6059,0.6239,152727364.8,0.6417744127903615,0.6650024730574511,39.74100348932892,23.040058503894038,0.7382209945314682,0.581689005468532,2,ADAUSDTUSDT
0.6315,0.6338,0.5857,0.6094,159599767.0,0.6367937338995366,0.6608837713494917,37.18382077477743,23.6892168093777,0.7369111088796013,0.5757788911203986,2,ADAUSDTUSDT
