open,high,low,close,volume,ema_short,ema_long,rsi,adx,upper_band,lower_band,signal,symbol
629.17,671.15,623.12,666.29,480734.869,658.9871331240197,660.28153338304,52.94088367220637,14.264985356199116,689.7648031252633,635.2061968747367,2,BNBUSDTUSDT
602.7,629.33,600.8,629.17,384267.525,654.3998818741704,657.9769753546667,38.459476191145704,14.912745086874958,688.1251547514689,631.0738452485311,2,BNBUSDTUSDT
602.57,609.07,597.89,602.7,194088.591,646.4460538935289,653.8823845876543,31.78302759053371,15.65341866280333,690.6187839334846,620.1592160665155,2,BNBUSDTUSDT
597.61,603.18,593.23,602.57,214613.107,639.6958917560628,650.0814672107911,31.75387259781522,16.57554267851387,692.7446644019269,610.8613355980731,2,BNBUSDTUSDT
586.02,599.98,583.55,597.61,201100.589,633.2211391782071,646.1946918618436,30.60050109131225,17.908285910131536,694.5773051908949,601.8456948091053,2,BNBUSDTUSDT
599.36,600.49,584.7,586.03,143960.835,625.9609639200214,641.7380480202255,28.0397993975905,19.05880311547483,696.8144198416908,591.4105801583091,2,BNBUSDTUSDT
600.69,601.2,595.23,599.36,100770.294,621.8685079323258,638.5989333520607,34.80317025975264,20.024516957347508,697.0144225749244,585.4485774250755,2,BNBUSDTUSDT
599.64,603.61,595.12,600.69,141344.865,618.6102759427372,635.7908642148711,35.4550080910792,20.641353845629624,691.3028146316658,582.5721853683342,2,BNBUSDTUSDT
599.88,605.28,598.14,599.63,156229.229,615.6902334900084,633.1122816804362,35.153347430128605,21.01873920611993,687.244963871616,579.262036128384,2,BNBUSDTUSDT
601.0,604.44,591.42,599.88,210580.664,613.257889876161,630.6506311855891,35.293180524978,21.787764248023137,686.0342712477409,575.4607287522592,2,BNBUSDTUSDT
606.16,610.75,598.1,601.0,236809.997,611.3720606644439,628.4542881348046,35.959435182953385,21.79230491792867,684.3409279845856,572.2920720154144,2,BNBUSDTUSDT
603.46,608.27,598.2,606.16,143778.008,610.5702051776063,626.8028593840784,39.07203467554311,21.79644597106318,681.8024701705615,570.2935298294385,2,BNBUSDTUSDT
607.23,608.68,597.0,603.46,121784.476,609.4763274579747,625.0737586889616,38.030441322404656,21.889284428335767,680.4715026944832,568.0194973055168,2,BNBUSDTUSDT
599.9,609.25,599.34,607.23,137533.142,609.1307386182862,623.7519987860755,40.418821884092814,21.903550018559763,677.9669539660124,566.5710460339876,2,BNBUSDTUSDT
601.56,610.35,597.2,599.91,257426.554,607.7121634462421,621.9859248019218,37.4044115778894,22.091184260145226,674.4416235871607,564.8993764128392,2,BNBUSDTUSDT
605.72,606.78,592.59,601.55,204214.28,606.7641383006664,620.4721525943721,38.51086853612764,22.629528245849528,670.2701167430583,563.9788832569417,2,BNBUSDTUSDT
618.5,619.99,601.38,605.71,314125.448,606.6019631774869,619.3786598096038,41.34319535628068,21.517292359255702,662.9321606731608,565.4748393268392,2,BNBUSDTUSDT
597.32,619.9,595.0,618.51,285468.164,608.433968842489,619.3143146385221,49.11056475627323,21.04131134951827,656.172884246968,568.078115753032,2,BNBUSDTUSDT
592.77,608.52,592.53,597.34,171926.422,606.727204405183,617.6865876282612,39.73802293926091,20.80596688775228,650.0595834440188,568.8104165559811,2,BNBUSDTUSDT
591.74,595.23,587.5,592.77,115343.598,604.5799421890009,615.8409144706122,38.04985558901585,20.989394327030876,638.4671362249182,573.2898637750818,2,BNBUSDTUSDT
591.7,594.49,587.7,591.73,96609.003,602.6030280060777,614.0549208061225,37.657783597666295,21.15823941758325,619.9424481507804,584.3585518492196,2,BNBUSDTUSDT
590.5,596.08,587.08,591.71,191575.748,600.9271775436042,612.3997414871504,37.6497491461878,21.100399836803525,613.6308155058982,586.9241844941018,2,BNBUSDTUSDT
582.8,592.97,581.0,590.49,151848.259,599.3214579215112,610.7767976732874,37.1293538212435,21.563609973152886,613.6242749489312,585.7097250510689,2,BNBUSDTUSDT
579.52,587.0,576.0,582.8,174537.948,596.7796951643556,608.704442290081,33.944483882483,22.377411523948403,614.3664141698335,582.9905858301664,2,BNBUSDTUSDT
584.53,590.84,579.38,579.52,141640.579,594.1243574467625,606.542631750075,32.65773853817369,22.579708616296678,615.5509360689649,579.9970639310351,2,BNBUSDTUSDT
584.29,593.1,583.14,584.54,153827.795,592.6498409164914,604.9128071759953,36.61782862800452,22.450248023122167,615.6839571505526,579.7150428494473,2,BNBUSDTUSDT
597.3,598.67,580.32,584.28,144896.285,591.362173083185,603.3844510888846,36.49811540491664,21.589358313173108,615.8301969528258,578.0608030471743,2,BNBUSDTUSDT
585.93,600.48,584.0,597.29,151268.708,592.2741464550027,602.9330102674857,46.009719246375816,20.563405183827385,615.5833616275233,577.9676383724766,2,BNBUSDTUSDT
578.03,590.36,575.7,585.93,174700.72,591.2981239234638,601.6735280254497,40.32937852020964,20.446183141790478,615.4232209414523,576.7577790585477,2,BNBUSDTUSDT
582.32,583.58,566.17,578.03,369219.863,589.2568740890847,599.9221555791202,36.91608321538695,21.11937361821824,615.7668262547518,574.2291737452481,2,BNBUSDTUSDT
553.72,585.97,534.3,582.32,378370.127,588.189662690764,598.618292202889,39.891208210533584,23.39794593036923,615.3430097513975,572.7849902486024,2,BNBUSDTUSDT
554.6,566.0,547.64,553.72,212191.86,582.8866376614156,595.2924927804529,29.800814276122523,25.505864152685792,618.3039013474489,564.5800986525511,2,BNBUSDTUSDT
555.55,567.6,520.0,554.6,727293.86,578.5348472519671,592.2782340559748,30.384312275888483,28.307822280285993,619.6628040040711,558.335195995929,2,BNBUSDTUSDT
