Open,High,Low,Close,Volume,EMA_Short,EMA_Long,RSI,ADX,Upper_Band,Lower_Band,target
26462.9,26479.0,26300.0,26400.93,2457.93413,26428.76178754712,26450.113470507546,46.848433613291654,27.070147058873783,26546.809561968625,26244.043438031378,2
26400.92,26686.87,26351.32,26648.55,2988.17396,26462.575358693713,26464.812472692174,60.234003590544795,25.246702219618573,26589.196392787795,26219.21760721221,2
26648.54,26810.0,26579.97,26721.68,2794.1661,26502.437611202375,26483.8396969372,63.182933941349255,24.931079804302918,26645.479808861284,26186.86019113872,1
26721.69,26732.24,26414.02,26498.4,2839.83235,26501.816440248163,26484.918237904814,50.796979718177624,22.649607137361855,26653.55177407797,26192.63522592203,1
26498.39,26515.12,26435.01,26485.0,976.46959,26499.229295594603,26484.924294356308,50.161444857716646,20.652149108634028,26635.827227015252,26243.259772984748,1
26485.0,26571.99,26442.0,26550.0,1050.51441,26507.040173195433,26489.74471699658,53.2189334632387,19.462442368722265,26639.95758400771,26266.539415992287,1
26550.0,26564.38,26515.99,26539.9,591.34861,26512.095531165367,26493.459923144983,52.67815096596509,18.409587702012086,26645.936583573286,26280.616416426714,1
26539.86,26649.97,26521.07,26637.3,958.11632,26531.357757139926,26504.11474365276,57.1953542371453,18.279746820266638,26669.899648188435,26281.382351811557,1
26637.31,26644.51,26552.0,26573.42,663.12157,26537.82887142609,26509.248466345147,53.58272526401169,18.16387173614666,26680.310483958277,26283.953516041725,1
26573.42,26601.77,26525.89,26544.38,545.50744,26538.836737360536,26511.850802171433,51.97549669791466,17.721701619030163,26684.888866128684,26295.162133871316,1
26544.39,26553.53,26488.01,26498.61,644.13075,26532.64800853584,26510.870002010586,49.45750644654615,16.846019052886035,26680.75894137731,26314.736058622686,1
26498.62,26509.72,26430.0,26456.95,935.16043,26521.002161068787,26506.87592778758,47.21537102687123,15.464789306459334,26679.21255825115,26321.880441748857,1
26456.95,26596.58,26439.98,26504.21,1113.87611,26518.41875167359,26506.678451655163,49.985407532713104,15.034396184073604,26676.39881372046,26337.364186279538,1
26504.21,26537.18,26269.91,26457.51,2532.48238,26509.048174493037,26503.036344125154,47.34160598447887,14.630523686057506,26675.5700117239,26341.209988276107,1
26457.5,26501.75,26439.11,26483.7,741.0086,26505.148455340262,26501.604022338106,48.97165403912527,14.264101874220351,26675.399034281032,26345.281965718972,1
26483.69,26507.11,26424.35,26491.38,877.26907,26503.03023144176,26500.846687350095,49.46565730961782,14.064176422796264,26675.14293661762,26350.52206338238,1
26491.38,26533.3,26475.51,26504.54,683.74932,26503.262503527643,26501.120266064903,50.35259726384921,13.579151530085978,26670.30077015898,26367.312229841016,1
26504.54,26576.55,26475.24,26492.93,1051.33756,26501.672887600314,26500.513579689727,49.526733713149824,12.649986460524712,26670.38351143754,26368.045488562464,1
26492.92,26500.0,26440.38,26493.43,1003.56886,26500.404751046422,26499.98887008308,49.56509914238018,12.164347478133914,26668.662322730157,26375.909677269843,1
26493.44,26650.0,26491.66,26642.37,1657.03118,26522.245558577742,26510.5356204473,59.45225511107665,12.193976885196006,26683.845957652717,26378.67304234729,1
26642.38,26685.43,26591.0,26639.03,1272.2901,26540.212395719627,26520.05372263639,59.17211383765189,12.516490181400068,26690.274837430803,26396.054162569202,1
26639.03,26675.82,26602.51,26635.4,988.92677,26554.85664253199,26528.59789132999,58.847563478979296,12.812102156897225,26687.834144484452,26397.17985551555,1
26635.39,26644.96,26560.0,26610.19,968.93409,26563.36946675784,26534.641751231473,56.52865009095949,12.573859436143975,26661.396485292953,26412.468514707052,1
26610.18,26699.99,26610.18,26673.76,1186.0818,26580.35262571817,26544.94680669581,60.730805273249345,12.862953520705975,26682.19656067211,26409.20443932789,1
26673.75,26783.33,26627.21,26634.65,2351.81394,26588.706067915376,26551.591487681308,57.075378818214965,13.81031103409519,26691.93715642065,26414.428843579353,1
26634.64,26712.52,26536.96,26594.64,1793.16256,26589.61898054378,26554.78026637158,53.52594737408955,13.62776830463795,26695.323894999587,26415.506105000415,1
26594.63,26633.76,26452.86,26477.37,1874.5623,26572.349906613967,26549.04617256628,44.74303606993634,12.617556898308498,26696.18242013218,26408.394579867825,1
26477.36,26529.54,26442.98,26482.84,1257.10608,26558.57915175028,26544.142011635442,45.194768464374526,11.749141911824776,26685.93773609678,26403.193263903213,1
26482.83,26515.0,26417.92,26496.06,1105.22958,26548.960820711774,26540.58038114393,46.33659789029487,11.193766163509768,26682.93077217991,26398.464227820088,1
26496.05,26516.71,26412.44,26450.0,917.15989,26533.73607906381,26533.870723281416,42.976962887950606,10.736783337003978,26683.571599469473,26388.385400530537,2
26450.0,26490.0,26383.05,26407.15,1165.90636,26514.261297669378,26524.484003038346,40.06650706093872,10.616883908487758,26688.695516272503,26374.1154837275,2
26407.15,26470.0,26397.11,26451.16,869.25481,26504.553405720242,26519.052595405876,44.24298357045514,10.506205702174784,26688.973396836525,26373.25860316348,2
26451.16,26499.5,26445.75,26479.52,534.364,26500.702112532512,26516.12425500544,46.81497412890268,10.021524779392953,26688.942823554797,26370.820176445202,2
26479.51,26500.0,26458.07,26492.69,472.82674,26499.469479835203,26514.388384264297,48.01424809245116,9.567114230570281,26688.220329668457,26375.06067033154,2
26492.69,26498.17,26449.78,26477.81,581.60717,26496.13725216825,26511.678874318794,46.732077079269075,9.254696491823871,26688.30708554672,26374.384914453283,2
26477.8,26487.26,26450.0,26459.99,665.29959,26490.576136450058,26507.8500688137,45.1762010789569,8.965855072118426,26688.91734507443,26370.63565492557,2
