Open,High,Low,Close,Volume
0.7052,0.7532,0.6902,0.7072,206190185.9
0.7325,0.766,0.6978,0.7052,187578647.3
0.744,0.7764,0.7251,0.7325,174717874.3
0.8121,0.8198,0.715,0.7439,336202720.8
0.8051,0.8245,0.506,0.812,1336951229.5
0.8947,0.9113,0.7513,0.8052,340523726.6
0.9428,0.9576,0.8875,0.8948,88384785.8
0.9595,0.9837,0.9347,0.9429,113818765.2
0.9398,0.9886,0.9363,0.9595,86721138.9
0.9168,0.9603,0.9018,0.9399,135142289.7
0.9346,0.9684,0.9031,0.9169,124707222.9
0.953,0.9587,0.8568,0.9345,257950415.8
0.9766,1.0003,0.9515,0.953,73197919.3
0.9712,0.9919,0.9642,0.9766,56721656.8
0.9867,1.01,0.9636,0.9712,124426928.3
0.9827,1.0118,0.9512,0.9867,192569354.5
1.0059,1.0199,0.9759,0.9827,147886319.8
1.0095,1.0288,0.9508,1.0058,303337850.2
0.993,1.1014,0.9594,1.0094,464297968.4
1.1044,1.152,0.9636,0.993,560820593.6
1.1331,1.1466,1.0482,1.1045,256781980.9
1.0893,1.1662,1.0854,1.133,276530914.4
1.0755,1.145,1.0273,1.0892,383249639.4
0.9972,1.09,0.9879,1.0755,384217805.3
0.9444,1.0109,0.938,0.9972,187168513.0
0.9676,0.9938,0.8758,0.9444,288677979.1
0.9955,1.0369,0.9613,0.9677,196542136.0
0.9303,1.0176,0.9134,0.9955,146491610.6
0.9045,0.974,0.904,0.9303,208259628.3
0.9467,0.9604,0.8798,0.9045,239358339.9
0.9893,1.0242,0.9079,0.9468,369801375.9
1.0934,1.1519,0.988,0.9892,365562839.2
1.0911,1.1162,1.0575,1.0934,181395918.9
1.0707,1.115,1.0521,1.0911,171630835.3
1.0894,1.1144,1.0565,1.0707,168969002.6
0.9612,1.1194,0.9569,1.0894,388427400.9
0.9222,0.9828,0.9222,0.9612,194982188.5
0.845,0.9355,0.838,0.9222,171861317.3
0.8616,0.8791,0.8397,0.8451,107355712.5
0.859,0.9048,0.8296,0.8615,168318692.6
0.8895,0.9123,0.851,0.859,105900380.7
0.8771,0.9,0.8662,0.8895,79029125.6
0.8611,0.9147,0.855,0.8771,134800242.8
0.9176,0.9281,0.8507,0.8611,131074807.3
0.9357,0.9403,0.9,0.9176,95106199.7
0.9265,0.9507,0.8918,0.9358,165078579.2
0.8835,0.9425,0.8619,0.9264,245984682.7
0.9053,0.9249,0.8589,0.8834,234703947.6
0.95,0.9979,0.8867,0.9052,289558064.4
0.8806,0.9596,0.762,0.9501,594787205.1
0.9682,0.989,0.8475,0.8806,447732655.1
1.0523,1.0602,0.958,0.9681,375972520.0
1.0775,1.1119,1.0418,1.0522,252529517.4
1.0995,1.121,1.0474,1.0775,220525179.7
1.0609,1.1123,1.0389,1.0996,139414086.3
1.1213,1.1332,1.0431,1.061,138860581.3
1.1231,1.1308,1.0774,1.1213,180296167.7
1.0869,1.1819,1.0728,1.1231,338015830.6
1.0215,1.115,0.9718,1.0868,361950376.3
1.0035,1.0378,0.91,1.0215,628873381.3
1.1936,1.1936,0.91,1.0034,618530935.0
1.2103,1.224,1.1723,1.1936,255648168.3
1.2278,1.2369,1.1881,1.2103,165417822.9
1.1599,1.2375,1.1336,1.2278,311787487.7
1.1871,1.2445,1.1138,1.1597,413686149.8
1.1915,1.2417,1.1403,1.1871,383350912.1
1.2022,1.3264,1.1401,1.1914,802151381.2
1.1497,1.2424,1.0567,1.2022,866951754.4
